,gameId,gameDuraton,blueWins,blueWardPlaced,blueKills,blueDeath,redWardPlaced,blueTotalGoldDiff,blueTotalMinionKillDiff,FirstTowerDiff,HeraldDiff,FirstDragonDiff,blueJungleMinionDiff,TotalAssistDiff,AvgLevelDiff
8372,4193057077,1652,1,45,56,31,33,7893,-12,1,1,1,76,46,1.8000000000000007
8373,4188532085,1633,0,46,22,23,60,-11860,-112,-1,-1,1,-95,-3,-1.5999999999999996
8374,4188394857,1358,0,33,17,31,25,-9291,-71,-1,0,1,-7,-20,-1.1999999999999993
8375,4188204426,1919,0,66,27,46,67,-12916,-7,-1,-1,1,-72,-29,-2.0
8376,4181712895,1526,1,55,39,17,72,13432,17,-1,1,1,10,27,1.5999999999999996
8377,4177072238,1227,0,60,10,23,54,-8383,-60,-1,0,-1,-51,-18,-1.0
8378,4176909257,1731,1,71,20,19,74,8951,41,1,1,-1,48,11,1.200000000000001
8379,4175920014,1394,1,63,25,15,50,7730,-35,1,1,1,-11,39,1.1999999999999993
8380,4169888350,1867,0,88,24,28,88,-5550,-9,1,-1,1,-6,3,-1.0
8381,4169931398,1214,0,29,16,28,44,-8502,-105,-1,0,1,-35,-7,-1.0
8382,4165623607,1687,0,46,18,28,51,-13351,-70,-1,-1,-1,-78,-15,-1.5999999999999996
8383,4165529367,1647,0,55,16,34,72,-8442,57,-1,-1,-1,-51,-36,-1.3999999999999986
8384,4165583453,1622,1,55,30,22,44,9463,-12,1,1,-1,-3,44,1.8000000000000007
8385,4164456859,1436,1,76,29,17,54,7303,-23,1,1,-1,6,27,1.5999999999999996
8386,4164391580,1930,0,107,33,43,78,-3402,1,-1,1,1,-21,0,0.40000000000000036
8387,4164286115,1408,0,89,14,21,53,-3638,5,1,0,-1,-74,-14,-0.5999999999999996
8388,4156086745,1888,1,99,35,23,71,6922,18,1,1,-1,-77,47,1.4000000000000004
8389,4156053806,1321,1,56,22,10,59,4848,3,1,0,1,15,11,0.3999999999999986
8390,4151024743,1369,1,60,28,11,62,8592,10,1,0,1,26,28,0.5999999999999996
8391,4144191563,1352,0,51,51,71,69,-9658,-72,-1,1,-1,-7,-38,-1.3999999999999986
8392,4138305077,1768,1,77,42,18,82,14440,-14,1,1,1,104,39,1.799999999999999
8393,4138156815,1965,0,103,30,37,108,-6079,-7,1,-1,-1,27,-27,-1.5999999999999996
8394,4138096473,2097,0,100,24,29,108,-2586,-111,1,1,-1,32,-14,-0.6000000000000014
8395,4136949633,1626,0,95,15,24,57,-7239,0,-1,0,1,38,-47,-1.0
8396,4136920851,1687,1,82,24,18,69,5654,38,1,1,-1,0,9,1.200000000000001
8397,4136468965,1290,1,50,27,9,41,10733,73,1,0,-1,21,21,1.200000000000001
8398,4136481619,1608,1,76,40,22,75,13951,67,1,1,1,59,16,1.3999999999999986
8399,4136414476,926,0,25,2,18,38,-8422,-2,-1,0,1,-7,-14,-1.4000000000000004
8400,4121969159,1038,1,64,32,49,39,2848,-1,-1,1,1,170,4,0.7999999999999989
8401,4121963907,1033,1,48,54,21,47,20656,97,1,1,1,118,20,1.8000000000000007
8402,4121921321,965,1,35,55,44,53,10871,-3,1,1,1,192,10,1.0
8403,4121847711,823,1,25,45,18,16,12524,30,1,0,1,-12,25,1.0
8404,4121874070,665,1,37,44,23,25,7042,1,1,0,-1,-45,22,1.1999999999999993
8405,4121821862,1007,0,47,41,48,53,-8487,-50,1,-1,-1,-66,-37,-2.1999999999999993
8406,4253357350,938,0,20,29,36,16,-2826,-61,1,0,1,38,14,0.0
8407,4250603555,992,1,13,33,25,8,12053,165,1,0,1,72,-22,0.40000000000000036
8408,4245969372,1299,1,49,27,9,38,5105,-28,1,0,1,-8,27,0.40000000000000036
8409,4245455461,944,0,32,9,13,34,-6114,-40,-1,0,1,-53,-10,-1.0
8410,4235744578,1870,0,64,26,34,92,-4860,61,-1,-1,-1,-15,-12,-1.0
8411,4235731340,1764,1,106,32,27,95,9593,23,1,1,-1,53,0,1.4000000000000004
8412,4234875944,1650,1,94,33,25,59,10001,115,-1,1,1,20,3,1.4000000000000004
8413,4234728737,854,1,24,15,3,22,12539,114,1,0,1,6,15,1.5999999999999996
8414,4233071340,934,1,36,17,7,26,8744,54,1,0,1,23,19,1.0
8415,4232555473,1502,1,58,43,20,66,16127,16,1,1,1,52,31,2.1999999999999993
8416,4232481967,2188,0,99,25,24,102,-6394,-141,1,-1,1,13,-9,-1.5999999999999996
8417,4231963265,1860,1,106,23,27,65,5448,60,1,1,-1,7,2,1.0
8418,4229589868,1057,1,38,16,2,38,14716,101,1,0,-1,36,18,2.0
8419,4228667884,1079,0,45,16,23,42,-11683,-116,-1,0,1,-17,-14,-1.4000000000000004
8420,4228546573,1876,0,81,25,39,67,-7124,-7,-1,-1,1,10,-29,-1.5999999999999996
8421,4228503933,985,1,52,17,6,31,5827,15,1,0,1,14,20,1.200000000000001
8422,4227959985,1375,0,47,14,30,51,-11466,-18,-1,-1,-1,-40,-21,-1.4000000000000004
8423,4227437388,1686,0,70,19,32,88,-7367,-23,1,-1,1,-17,-21,-1.1999999999999993
8424,4227432816,1934,1,91,35,27,71,5028,-19,1,1,1,-32,10,1.1999999999999993
8425,4227264278,1662,1,94,27,17,79,7037,17,1,-1,1,14,0,0.3999999999999986
8426,4227199470,1258,1,64,24,16,56,8193,63,1,0,1,47,3,1.3999999999999986
8427,4227106901,1745,0,89,20,15,73,-1179,-26,1,-1,1,27,13,-0.20000000000000107
8428,4225226837,962,1,36,17,5,34,5200,13,1,0,1,21,7,1.4000000000000004
8429,4225219713,1541,0,74,12,26,56,-8093,-11,1,-1,1,0,-37,-2.4000000000000004
8430,4225214748,582,0,5,6,9,7,-5198,-70,-1,0,0,-6,-14,-1.7999999999999998
8431,4225181166,1478,0,75,21,27,54,-12489,-63,-1,-1,-1,-149,13,-1.200000000000001
8432,4225105527,1613,0,62,24,27,55,-899,-25,-1,1,-1,-15,-12,-0.5999999999999996
8433,4225050679,1687,0,62,25,37,66,-7372,10,-1,-1,1,-3,-29,-1.4000000000000004
8434,4224759146,2367,0,113,29,35,88,-2556,-95,1,1,-1,13,-17,-0.6000000000000014
8435,4224001363,1235,1,45,27,13,44,7972,-11,1,0,1,-24,13,0.8000000000000007
8436,4223934271,940,1,37,14,2,25,11201,71,1,0,-1,33,18,1.8000000000000007
8437,4223388365,2086,1,112,42,26,114,8995,-168,1,1,1,48,18,0.6000000000000014
8438,4222883214,1610,0,65,19,39,61,-11971,-2,-1,-1,-1,-77,-24,-1.4000000000000004
8439,4222725964,774,0,16,5,13,22,-11973,-105,-1,0,-1,-27,-9,-2.1999999999999993
8440,4222721593,921,1,43,27,9,32,10044,36,1,0,1,8,13,1.0
8441,4222458689,969,0,39,9,21,42,-7152,8,-1,0,-1,-22,-23,-1.5999999999999996
8442,4221451982,1605,0,94,18,32,79,-5634,-47,-1,0,-1,-25,-13,-0.3999999999999986
8443,4221385309,940,0,24,5,18,30,-11466,-50,-1,0,-1,-42,-11,-1.1999999999999993
8444,4219924900,1221,0,40,5,21,42,-11032,-78,-1,0,-1,-36,-32,-1.4000000000000004
8445,4219808234,1467,1,48,23,17,62,12586,96,1,1,1,32,30,1.8000000000000007
8446,4219780455,1851,1,94,25,18,67,6711,18,1,1,1,38,14,1.4000000000000004
8447,4219627632,1322,1,40,25,10,45,14074,40,1,1,1,57,17,1.4000000000000004
8448,4219558969,1638,1,64,30,15,84,9906,43,1,1,-1,54,25,1.5999999999999996
8449,4218856728,1246,1,57,24,12,43,8264,-14,1,0,1,71,25,1.8000000000000007
8450,4218492808,1493,0,54,13,28,58,-10704,13,-1,-1,-1,-37,-32,-1.8000000000000007
8451,4218424674,1933,0,91,26,30,83,-6395,21,1,-1,-1,-24,-17,-0.7999999999999989
8452,4218387836,1670,0,68,26,37,75,-6928,94,-1,-1,1,-116,-13,-1.1999999999999993
8453,4218302619,1155,1,47,20,9,36,6557,-35,1,0,1,-12,14,0.40000000000000036
8454,4218147537,1408,1,56,21,15,63,1272,-25,-1,1,-1,-45,30,1.4000000000000004
8455,4218141037,980,1,37,15,10,26,6638,39,1,0,-1,-9,12,0.5999999999999996
8456,4238443650,2455,0,145,32,31,116,-6258,49,1,-1,-1,-66,4,-0.6000000000000014
8457,4237976676,1871,0,75,27,29,74,-5162,-100,1,1,-1,-11,-9,-1.1999999999999993
8458,4237938161,945,0,32,8,24,23,-10830,-77,-1,0,-1,-46,-23,-1.5999999999999996
8459,4231243372,1720,0,87,9,37,84,-17111,17,-1,-1,-1,-86,-41,-2.0
8460,4229413372,919,0,33,8,21,37,-10089,-47,-1,0,-1,-31,-12,-1.1999999999999993
8461,4226300511,2369,1,125,30,24,117,3570,-44,-1,1,-1,-64,14,0.0
8462,4224562821,1473,1,77,36,19,58,8912,-35,1,1,-1,42,40,1.799999999999999
8463,4224293698,947,1,35,16,9,29,7844,98,1,0,1,-21,12,1.1999999999999993
8464,4223858846,1899,1,90,27,14,73,7912,-95,1,1,1,102,22,1.5999999999999996
8465,4215415050,1910,1,115,34,18,68,14715,32,1,-1,1,173,25,1.200000000000001
8466,4214718407,915,0,39,6,17,28,-8772,-84,-1,0,-1,-30,-13,-2.0
8467,4212093045,1430,1,60,25,16,59,8618,22,-1,1,-1,-18,29,1.200000000000001
8468,4212018380,1765,1,95,35,20,72,9625,-62,1,1,-1,-13,20,0.7999999999999989
8469,4211333785,1021,1,33,26,7,36,13092,40,1,0,-1,32,29,2.0
8470,4211296024,1401,0,72,10,25,62,-9494,-4,-1,-1,1,-36,-25,-2.200000000000001
8471,4210476994,1218,1,42,31,16,47,9376,-2,1,0,1,54,16,0.7999999999999989
8472,4210449036,1466,1,69,18,11,54,12160,43,1,1,1,37,20,1.5999999999999996
8473,4210272251,1037,1,42,21,4,36,14829,97,1,0,1,41,34,2.1999999999999993
8474,4210134240,1138,0,35,13,19,52,-5334,-53,1,0,-1,-47,-4,-1.4000000000000004
8475,4208640716,1492,0,51,21,39,56,-14998,48,-1,-1,1,-101,-49,-1.799999999999999
8476,4208054025,916,1,36,19,10,41,3915,-8,1,0,1,9,8,1.0
8477,4207926989,1990,1,104,30,31,88,2111,-9,-1,1,1,39,-8,-0.3999999999999986
8478,4207649539,1642,1,82,22,27,67,1878,-40,1,1,1,27,2,0.6000000000000014
8479,4206720583,1895,1,97,36,27,81,8735,-71,-1,1,1,113,-2,1.0
8480,4206549057,1553,1,86,32,22,74,10651,38,1,1,1,23,25,1.3999999999999986
8481,4206447538,1228,0,36,13,23,53,-7851,-77,-1,0,-1,-88,-16,-1.6000000000000014
8482,4206126401,1779,0,86,24,24,71,-4408,-88,1,-1,-1,23,1,-1.4000000000000004
8483,4205905694,1465,1,63,24,13,79,9991,-20,1,1,-1,14,35,1.8000000000000007
8484,4205910981,924,1,41,18,3,31,13587,118,1,0,-1,51,19,2.2
8485,4205803999,1851,1,79,38,21,84,9395,30,1,1,-1,-14,16,1.5999999999999996
8486,4205751989,984,0,43,8,17,37,-8133,-73,-1,0,-1,-20,-17,-1.0
8487,4205523079,1728,1,72,31,14,78,9322,-65,1,1,-1,57,34,1.5999999999999996
8488,4205438761,1189,0,36,11,30,38,-10806,-5,-1,0,-1,-58,-31,-1.5999999999999996
8489,4204338947,1567,1,67,36,24,66,9201,88,1,1,-1,71,13,1.4000000000000004
8490,4204279828,1513,1,73,37,28,56,9078,53,1,1,-1,38,-4,1.4000000000000004
8491,4211607487,1528,1,57,31,24,64,6101,-4,1,0,1,51,15,0.8000000000000007
8492,4202583875,1709,1,64,31,16,49,10399,31,-1,1,-1,14,46,2.0
8493,4195527419,1461,1,71,30,18,80,11054,102,1,0,-1,70,24,2.0
8494,4195505274,1240,0,39,15,32,40,-12859,-118,-1,0,-1,-28,-3,-1.4000000000000004
8495,4195432935,1446,1,54,42,18,65,14621,50,1,0,-1,73,26,1.8000000000000007
8496,4195380443,886,1,20,19,7,26,10250,107,1,0,1,18,12,1.5999999999999996
8497,4195354724,1302,0,51,15,19,49,984,-5,1,0,-1,50,-7,-0.6000000000000014
8498,4193087875,1797,1,71,32,20,79,2126,-33,1,-1,1,-25,17,0.1999999999999993
8499,4192982974,1211,1,50,20,10,54,8976,52,1,0,-1,33,17,1.4000000000000004
8500,4190694928,1773,1,85,29,22,89,9909,46,1,1,1,57,17,1.1999999999999993
8501,4190574120,1995,0,133,28,30,91,3909,28,-1,1,-1,48,-11,0.0
8502,4174727884,1551,1,63,37,24,65,7108,38,1,1,-1,25,12,0.7999999999999989
